epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,724.824,2.09848,2.94824,1.47364,0.49951,0.11725,0.04496,0.01261,2.59492,3.659,1.87018,0.000369218,0.000369218,0.000369218
2,1502.07,2.0104,2.20991,1.40539,0.44296,0.17903,0.0212,0.00981,2.68101,3.74274,2.04142,0.00073223,0.00073223,0.00073223
3,2239.32,1.99788,2.04779,1.40693,0.17804,0.06601,0.03689,0.02226,2.63401,3.18888,2.0104,0.00108791,0.00108791,0.00108791
4,2978.14,1.98588,1.96124,1.38865,0.20106,0.11497,0.03825,0.0181,2.6209,3.06466,1.91593,0.001078,0.001078,0.001078
5,3772.35,1.92523,1.89163,1.36287,0.25795,0.03105,0.02394,0.01117,2.56414,3.02645,1.8735,0.001067,0.001067,0.001067
6,4511.26,1.87206,1.80071,1.33688,0.42973,0.10537,0.0625,0.01676,2.64406,3.492,1.91465,0.00105601,0.00105601,0.00105601
7,5241.27,1.85743,1.78364,1.32743,0.23859,0.1399,0.03163,0.01282,2.48712,2.91964,1.83947,0.00104501,0.00104501,0.00104501
8,5974.03,1.83954,1.74126,1.31416,0.71696,0.10157,0.14008,0.03497,2.42741,3.04653,1.85959,0.00103401,0.00103401,0.00103401
9,6701.36,1.82854,1.70525,1.31242,0.72996,0.10988,0.16297,0.05097,2.50392,2.71592,1.81046,0.00102301,0.00102301,0.00102301
10,7359.82,1.80288,1.66008,1.30715,0.71221,0.15199,0.16717,0.06497,2.50076,2.62646,1.77938,0.00101201,0.00101201,0.00101201
11,8047.51,1.78003,1.62501,1.2791,0.48183,0.13466,0.06366,0.02781,2.51,2.6146,1.80671,0.00100101,0.00100101,0.00100101
12,8730.7,1.76229,1.58785,1.27053,0.38692,0.16403,0.09986,0.03576,2.43203,2.54272,1.76044,0.000990012,0.000990012,0.000990012
13,9415.07,1.75236,1.58061,1.27268,0.27849,0.14095,0.08253,0.02922,2.36575,2.51362,1.72863,0.000979013,0.000979013,0.000979013
14,10099.5,1.74064,1.55988,1.2703,0.51875,0.1208,0.22868,0.05808,2.42893,2.49722,1.76948,0.000968014,0.000968014,0.000968014
